日付,国内の感染者数_1日ごとの発表数,国内の感染者数_累計,国内の死者数_1日ごとの発表数,国内の死者数_累計
2020/1/16,1,1,0,0
2020/1/17,0,1,0,0
2020/1/18,0,1,0,0
2020/1/19,0,1,0,0
2020/1/20,0,1,0,0
2020/1/21,0,1,0,0
2020/1/22,0,1,0,0
2020/1/23,0,1,0,0
2020/1/24,1,2,0,0
2020/1/25,1,3,0,0
2020/1/26,1,4,0,0
2020/1/27,0,4,0,0
2020/1/28,3,7,0,0
2020/1/29,1,8,0,0
2020/1/30,6,14,0,0
2020/1/31,3,17,0,0
2020/2/1,3,20,0,0
2020/2/2,0,20,0,0
2020/2/3,0,20,0,0
2020/2/4,3,23,0,0
2020/2/5,2,25,0,0
2020/2/6,0,25,0,0
2020/2/7,0,25,0,0
2020/2/8,1,26,0,0
2020/2/9,0,26,0,0
2020/2/10,0,26,0,0
2020/2/11,2,28,0,0
2020/2/12,1,29,0,0
2020/2/13,4,33,1,1
2020/2/14,8,41,0,1
2020/2/15,12,53,0,1
2020/2/16,6,59,0,1
2020/2/17,7,66,0,1
2020/2/18,8,74,0,1
2020/2/19,10,84,0,1
2020/2/20,10,94,0,1
2020/2/21,15,109,0,1
2020/2/22,26,135,0,1
2020/2/23,12,147,0,1
2020/2/24,13,160,0,1
2020/2/25,11,171,0,1
2020/2/26,18,189,2,3
2020/2/27,25,214,1,4
2020/2/28,19,233,1,5
2020/2/29,9,242,0,5
2020/3/1,14,256,1,6
2020/3/2,18,274,0,6
2020/3/3,19,293,0,6
2020/3/4,36,329,0,6
2020/3/5,32,361,0,6
2020/3/6,56,417,0,6
2020/3/7,44,461,0,6
2020/3/8,33,494,1,7
2020/3/9,28,522,2,9
2020/3/10,59,581,3,12
2020/3/11,53,634,3,15
2020/3/12,56,690,4,19
2020/3/13,34,724,2,21
2020/3/14,63,787,1,22
2020/3/15,31,818,2,24
2020/3/16,17,835,4,28
2020/3/17,45,880,1,29
2020/3/18,41,921,2,31
2020/3/19,40,961,2,33
2020/3/20,54,1015,2,35
2020/3/21,39,1054,1,36
2020/3/22,48,1102,5,41
2020/3/23,39,1141,1,42
2020/3/24,72,1213,1,43
2020/3/25,96,1309,2,45
2020/3/26,93,1402,2,47
2020/3/27,123,1525,5,52
2020/3/28,202,1727,3,55
2020/3/29,173,1900,1,56
2020/3/30,93,1993,3,59
2020/3/31,241,2234,7,66
2020/4/1,268,2502,3,69
2020/4/2,279,2781,4,73
2020/4/3,357,3138,4,77
2020/4/4,369,3507,7,84
2020/4/5,359,3866,9,93
2020/4/6,244,4110,4,97
2020/4/7,368,4478,1,98
2020/4/8,527,5005,7,105
2020/4/9,578,5583,4,109
2020/4/10,644,6227,13,122
2020/4/11,720,6947,10,132
2020/4/12,507,7454,6,138
2020/4/13,303,7757,5,143
2020/4/14,480,8237,19,162
2020/4/15,549,8786,17,179
2020/4/16,576,9362,12,191
2020/4/17,560,9922,16,207
2020/4/18,588,10510,17,224
2020/4/19,376,10886,14,238
2020/4/20,346,11232,25,263
2020/4/21,390,11622,20,283
2020/4/22,441,12063,16,299
2020/4/23,435,12498,29,328
2020/4/24,441,12939,17,345
2020/4/25,382,13321,15,360
2020/4/26,220,13541,12,372
2020/4/27,174,13715,22,394
2020/4/28,282,13997,19,413
2020/4/29,223,14220,22,435
2020/4/30,201,14421,22,457
2020/5/1,266,14687,29,486
2020/5/2,300,14987,31,517
2020/5/3,203,15190,19,536
2020/5/4,176,15366,20,556
2020/5/5,120,15486,10,566
2020/5/6,104,15590,11,577
